Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
Gini index,SI.POV.GINI,Afghanistan,AFG,..
Gini index,SI.POV.GINI,Albania,ALB,34.6
Gini index,SI.POV.GINI,Algeria,DZA,..
Gini index,SI.POV.GINI,American Samoa,ASM,..
Gini index,SI.POV.GINI,Andorra,AND,..
Gini index,SI.POV.GINI,Angola,AGO,..
Gini index,SI.POV.GINI,Antigua and Barbuda,ATG,..
Gini index,SI.POV.GINI,Argentina,ARG,41.8
Gini index,SI.POV.GINI,Armenia,ARM,31.5
Gini index,SI.POV.GINI,Aruba,ABW,..
Gini index,SI.POV.GINI,Australia,AUS,34.4
Gini index,SI.POV.GINI,Austria,AUT,30.5
Gini index,SI.POV.GINI,Azerbaijan,AZE,..
Gini index,SI.POV.GINI,"Bahamas, The",BHS,..
Gini index,SI.POV.GINI,Bahrain,BHR,..
Gini index,SI.POV.GINI,Bangladesh,BGD,..
Gini index,SI.POV.GINI,Barbados,BRB,..
Gini index,SI.POV.GINI,Belarus,BLR,27.2
Gini index,SI.POV.GINI,Belgium,BEL,28.1
Gini index,SI.POV.GINI,Belize,BLZ,..
Gini index,SI.POV.GINI,Benin,BEN,..
Gini index,SI.POV.GINI,Bermuda,BMU,..
Gini index,SI.POV.GINI,Bhutan,BTN,..
Gini index,SI.POV.GINI,Bolivia,BOL,47.8
Gini index,SI.POV.GINI,Bosnia and Herzegovina,BIH,..
Gini index,SI.POV.GINI,Botswana,BWA,..
Gini index,SI.POV.GINI,Brazil,BRA,52
Gini index,SI.POV.GINI,British Virgin Islands,VGB,..
Gini index,SI.POV.GINI,Brunei Darussalam,BRN,..
Gini index,SI.POV.GINI,Bulgaria,BGR,37.4
Gini index,SI.POV.GINI,Burkina Faso,BFA,35.3
Gini index,SI.POV.GINI,Burundi,BDI,..
Gini index,SI.POV.GINI,Cabo Verde,CPV,..
Gini index,SI.POV.GINI,Cambodia,KHM,..
Gini index,SI.POV.GINI,Cameroon,CMR,46.6
Gini index,SI.POV.GINI,Canada,CAN,33.2
Gini index,SI.POV.GINI,Cayman Islands,CYM,..
Gini index,SI.POV.GINI,Central African Republic,CAF,..
Gini index,SI.POV.GINI,Chad,TCD,..
Gini index,SI.POV.GINI,Channel Islands,CHI,..
Gini index,SI.POV.GINI,Chile,CHL,..
Gini index,SI.POV.GINI,China,CHN,39.2
Gini index,SI.POV.GINI,Colombia,COL,52.6
Gini index,SI.POV.GINI,Comoros,COM,45.3
Gini index,SI.POV.GINI,"Congo, Dem. Rep.",COD,..
Gini index,SI.POV.GINI,"Congo, Rep.",COG,..
Gini index,SI.POV.GINI,Costa Rica,CRI,48.6
Gini index,SI.POV.GINI,Cote d'Ivoire,CIV,..
Gini index,SI.POV.GINI,Croatia,HRV,32.1
Gini index,SI.POV.GINI,Cuba,CUB,..
Gini index,SI.POV.GINI,Curacao,CUW,..
Gini index,SI.POV.GINI,Cyprus,CYP,35.6
Gini index,SI.POV.GINI,Czechia,CZE,25.9
Gini index,SI.POV.GINI,Denmark,DNK,28.4
Gini index,SI.POV.GINI,Djibouti,DJI,..
Gini index,SI.POV.GINI,Dominica,DMA,..
Gini index,SI.POV.GINI,Dominican Republic,DOM,44.3
